Epoch:275   Accuracy:92.84
Epoch:276   Accuracy:92.48
Epoch:277   Accuracy:92.29
Epoch:278   Accuracy:92.43
Epoch:279   Accuracy:91.48
Epoch:280   Accuracy:92.23
Epoch:281   Accuracy:92.26
Epoch:282   Accuracy:92.52
Epoch:283   Accuracy:92.70
Epoch:284   Accuracy:92.89
Epoch:285   Accuracy:92.38
Epoch:286   Accuracy:92.93
Epoch:287   Accuracy:92.67
Epoch:288   Accuracy:92.92
Epoch:289   Accuracy:92.85
Epoch:290   Accuracy:92.36
Epoch:291   Accuracy:92.60
Epoch:292   Accuracy:92.52
Epoch:293   Accuracy:92.74
Epoch:294   Accuracy:92.33
Epoch:295   Accuracy:92.48
Epoch:296   Accuracy:92.49
Epoch:297   Accuracy:92.70
Epoch:298   Accuracy:92.68
Epoch:299   Accuracy:92.32
Epoch:300   Accuracy:92.79

Best:93.02  avgLast10: 92.56
