Numer of labeled samples:9919   AUC:0.936
Numer of labeled samples:9856   AUC:0.936
Numer of labeled samples:9907   AUC:0.937
Numer of labeled samples:9861   AUC:0.936
Numer of labeled samples:9890   AUC:0.934
Numer of labeled samples:9866   AUC:0.935
Numer of labeled samples:9871   AUC:0.935
Numer of labeled samples:9856   AUC:0.935
Numer of labeled samples:9860   AUC:0.935
Numer of labeled samples:9851   AUC:0.935
Numer of labeled samples:9839   AUC:0.934
Numer of labeled samples:9846   AUC:0.936
Numer of labeled samples:9821   AUC:0.935
Numer of labeled samples:9819   AUC:0.935
Numer of labeled samples:9800   AUC:0.938
Numer of labeled samples:9795   AUC:0.937
Numer of labeled samples:9812   AUC:0.940
Numer of labeled samples:9804   AUC:0.938
Numer of labeled samples:9816   AUC:0.941
Numer of labeled samples:9785   AUC:0.938
Numer of labeled samples:9804   AUC:0.942
Numer of labeled samples:9766   AUC:0.940
Numer of labeled samples:9787   AUC:0.941
Numer of labeled samples:9757   AUC:0.942
Numer of labeled samples:9786   AUC:0.939
Numer of labeled samples:9766   AUC:0.942
Numer of labeled samples:9786   AUC:0.937
Numer of labeled samples:9770   AUC:0.942
Numer of labeled samples:9774   AUC:0.938
Numer of labeled samples:9769   AUC:0.942
Numer of labeled samples:9794   AUC:0.937
Numer of labeled samples:9764   AUC:0.940
Numer of labeled samples:9789   AUC:0.939
Numer of labeled samples:9770   AUC:0.938
Numer of labeled samples:9772   AUC:0.940
Numer of labeled samples:9768   AUC:0.938
Numer of labeled samples:9756   AUC:0.940
Numer of labeled samples:9756   AUC:0.937
Numer of labeled samples:9738   AUC:0.939
Numer of labeled samples:9736   AUC:0.936
Numer of labeled samples:9730   AUC:0.940
Numer of labeled samples:9759   AUC:0.938
Numer of labeled samples:9750   AUC:0.939
Numer of labeled samples:9761   AUC:0.938
Numer of labeled samples:9773   AUC:0.940
Numer of labeled samples:9756   AUC:0.939
Numer of labeled samples:9769   AUC:0.940
Numer of labeled samples:9777   AUC:0.939
Numer of labeled samples:9761   AUC:0.940
Numer of labeled samples:9764   AUC:0.942
Numer of labeled samples:9762   AUC:0.939
Numer of labeled samples:9775   AUC:0.940
Numer of labeled samples:9761   AUC:0.941
Numer of labeled samples:9775   AUC:0.939
Numer of labeled samples:9743   AUC:0.939
Numer of labeled samples:9774   AUC:0.939
Numer of labeled samples:9729   AUC:0.938
Numer of labeled samples:9769   AUC:0.938
Numer of labeled samples:9732   AUC:0.939
Numer of labeled samples:9743   AUC:0.936
Numer of labeled samples:9731   AUC:0.939
Numer of labeled samples:9757   AUC:0.938
Numer of labeled samples:9732   AUC:0.938
Numer of labeled samples:9746   AUC:0.940
Numer of labeled samples:9732   AUC:0.939
Numer of labeled samples:9729   AUC:0.940
Numer of labeled samples:9745   AUC:0.940
Numer of labeled samples:9720   AUC:0.942
Numer of labeled samples:9743   AUC:0.942
Numer of labeled samples:9739   AUC:0.942
Numer of labeled samples:9738   AUC:0.943
Numer of labeled samples:9758   AUC:0.941
Numer of labeled samples:9745   AUC:0.942
Numer of labeled samples:9759   AUC:0.940
Numer of labeled samples:9740   AUC:0.942
Numer of labeled samples:9774   AUC:0.941
Numer of labeled samples:9767   AUC:0.941
Numer of labeled samples:9752   AUC:0.940
Numer of labeled samples:9766   AUC:0.940
Numer of labeled samples:9732   AUC:0.939
Numer of labeled samples:9751   AUC:0.938
Numer of labeled samples:9718   AUC:0.938
Numer of labeled samples:9730   AUC:0.938
